请根据实际情况，替换speaker1或speaker2为教练或客户：
总时长：98:53
speaker1:          说话时长：3388秒,占比：68.32%  安静时长:659 秒。
speaker2:          说话时长：1571秒,占比：31.68%  安静时长:313 秒。
speaker1:          字节总数：19320,占比：66.20%
speaker2:          字节总数：9864,占比：33.80%
笔录:
00:01  speaker1：噢好的好的，可以正式开始了。
00:13  speaker1：啊预计一个小时吧。嗯，那我不知道会不会抄，不知道唉。
00:30  speaker1：对对对。
00:40  speaker1：啊就是职业吧职业选择，还有就是嗯，赚钱，收入增加收入。
00:54  speaker1：是啊。嗯，是这么一个一个事情啊。不用不用就是想希望。
01:03  speaker1：就希望能够找到一个职业，就又跟自己的意向是吻合的，然后又能够嗯，呃增加家庭的收入嘛，希望二者是能够结合的啊。
01:25  speaker1：我就是眼下的需要啊，嗯，隐性的我们家的经济状况，就是就需要有有有有呃有一定的收入来支持。嘛因为我们的银行按揭每个月每个月银行按揭啊那8500块钱呢，然后现在我们的收入一个月2000多块钱的收入，你说这样下去是不是一直在赤字啊？一个月就得用，因为生活费也得要要要好几千嘛加起来，一个月得吃这1万多，你说不能持久嘛对吧？所以所以的话就是要要要有一个呃增加收入的渠道吧，因为离弟兄那边那我不清晰嘛，当然还没那么快，那我就想我这边看看能不能把我的时间有效利用起来，嗯，
02:40  speaker1：挣钱的目标问题，一个就是养家糊口吧，这是很很很朴实的目标，然后有一个就是嗯，你们跟自己的人生意向能够有一些吻合吧。
03:01  speaker1：嗯，嗯，
03:20  speaker1：唉如果理想一点的话，理想一点的话总收入1万嗯，如果嗯，基本一点就1万吧，理想年15,000，嗯，就是1万到15,000，嗯，03:37【安静3秒】不可能一下子实现就是了。嗯，
03:55  speaker1：清晰自己的方向。
03:59  speaker1：你你自己你要努力，要方向。那么看一下嗯，
04:19  speaker1：嗯，
04:30  speaker1：看到的就是一个很充实的生活，呀很充实很有成就感的生活。
04:53  speaker1：什么就是呃教练结束以后怎么样？
05:02  speaker1：嗯，就知道自己要往哪个方向走啊，哪一个行业啊哪一个。
05:14  speaker1：还有接下去的行动吗？嗯，
05:30  speaker1：对。
06:02  speaker1：我觉得是离不开的吧。嗯，不然也会觉得挺没劲的啊，如果只是为了呃为了收入的话。
06:30  speaker1：那才会有动力啊，才会有更更更足的动力。嘛
06:38  speaker1：不不会，其实其实我跟你讲啊，如果我只想满足收入目标，我就是把我现在这个外贸工作做的就好。我现在外贸工作的，我们不是每个星期才上三天的班吗？但是半天1个1个做1个工作9个小时那收入不高嘛，但是我如果我真的只想要有这个收入的话，我就把它做到跟正常上班朝九晚五，我就可以外国人交流。嗯，你明白我意思吗？我如果能够我。
07:14  speaker1：会回到我公司，但是我就觉得我没劲了，我都赔不起劲去做这份工作。
07:22  speaker1：所以我说那我自己从来没有不好听。
07:34  speaker1：嗯，
07:39  speaker1：嗯，
08:03  speaker1：嗯，
08:09  speaker1：嗯，08:10【安静12秒】对不起，我调整一下位置。08:24【安静10秒】啊08:35【安静3秒】现在会不会更清楚一点？
08:44  speaker1：噢就是说如果只是只是要钱的话，我其实就是在我原公司上满全天的班，我就可以可以可以有16万多的收入，但是我觉得那个那个班上的我很没劲，我都不想做，就是奇怪了。不是我每天去公司就想着要下班，我觉得在那边呆着我就很浪费时间，我纯粹是为了为了一点家庭的一点那个基础的保障，还有我的那个嗯，什么我的那些人事关系哈，是社保医保这些东西，然后再维持一个关系，然后一个星期进去三次，但是我就会觉得其实这这这三次也挺占用我的时间，因为我的我我人生印象以后不想在外贸上面花时间，但是所以我就觉得我不能为了赚钱而偏离自己的方向，不然我觉得那个也是一种浪费吧，时间精力上的浪费。
10:01  speaker1：就专注做，你想做的是专注做，都对吧？
10:16  speaker1：嗯，
10:36  speaker1：嗯，我觉得有点难。
10:46  speaker1：因为比如说我之前是其实我不断的在跟自己说，我是想做家庭教育，还跟孩子有关的事情，还有包括之前去做感统训练，然后呃培训拿了一些证，嗯，我就觉得我以后要做感统，但是我就进入这个港口领域，我就发现也高手很多哈，高手如林啊，也大家都是很用心在这个领域里面，然后觉得自己要到达他们的那个水平还是需要一定的磨练。嗯，没有一点时间的沉淀和经验的积累，你也赚不到多少钱，所以这个时候挺纠结的。然后呢一个是疫情的缘故，也感觉很多东西都变成线上的了，你在线下，因为这也是一种培训课程嘛，哈然后去年他也是一个培训课程，你就线下的好像好像有点难。We see。然后线上的就会冲击线下的一些课程。然后如果你要去搞新的了，那就是难上加难，你对这个整个互联网的这种那种工具你也用的不熟，比如说线上要做很多短视频啊，然后要写很多文案啊要做推广啊，那又是另外一个又是那个另外一个新的领域，就感觉要学的东西太多了，你都你你你你你你的经济能够成能够支持你呃撑那么久去学这学那吗？
12:23  speaker1：所以我就我有点有点不知道怎么办，嗯，那
12:39  speaker1：噢对，呀缺乏那个真的，我觉得那做什么你都会遇到很多高手，然后他在他们面前就觉得自己就好像没啥没啥指望的感觉。
13:10  speaker1：嗯，怎么是矛盾呢？都是觉得你有时候有有意向，但这个意向不定能给你赚钱呢。而且你有这意向并不等于你意向能实现啊，嗯，你的实际的困难还是叫做困难重重啊或者嗯，
13:46  speaker1：新的想法。
14:15  speaker1：就是分析吧就帮忙分，心想值不值得，嗯，就是这些困难算不算特别困难，你一般听一下算不算困难？然后可以不可以再往前走，就是富人吧。啊
15:07  speaker1：应该是现在先先先。那个行。先赚钱吧。嗯，因为我觉得如果当你经济上有了保障以后，
15:43  speaker1：嗯，就会觉得呃比较不在乎收益吧。嗯，那这些困难我可以用时间去慢慢耗嘛，就慢慢慢慢摸。
15:59  speaker1：嗯，
16:13  speaker1：你会说所以想亲你们的时候那多一点我觉得。还没找到你那个那个收入增长点呢，啊关键是我送你的产品。
16:49  speaker1：对，但是你想想看你你如果花这个时间去赚钱，你的这个意向上花的时间就就是然后
17:16  speaker1：那还是要赚钱。嗯，因为这个装他的钱一定会把整个家稳定下来，整个家安稳下来，包括整个家庭的这种气氛哈，不然我们连嗯，你说成天处在那种焦虑状态，我觉得对我们整个家的气氛就感觉有点沉重，你知道吗？我没唉呵呵呵先把这个日常生活给 k k k k给安排好吧，就是就能够在一个比较放松的状态，生活就是比较唉不要为这个聆听的去忧虑，嗯，他也没有办法做到说你跟你还不忧虑的这种这种状态。所以我觉得比不花钱的地方可多了啊。啊所以所以需要我们不想我们其实在省也得也得花的一些钱也是真的是挺挺多的。所以你先得把自己报给保证了嘛，对吧？你不能每每个月都赤字那么多，那你就成就就就感觉离我们的这个极限，离我们的那个提现就越来越近了嘛，人就会有一种紧迫感和压力感，这种压力感就会让你每天都在这种焦虑中生活也很难受。
18:39  speaker1：新进来的你那自己的呢？松一口气。
19:32  speaker1：嗯，你做什么往哪个方面聊，就是就赚钱吧。嗯，
19:51  speaker1：那你说咋办呢？不能两全，那你只能先保障生。那个你都你都比如说你都吃不饱，熬饿了都会肚子，你还能做啥呀？
20:28  speaker1：就是心会更安了嘛，更有能够稍目前去培训啊，能够因为你远期的一项你都要花钱去再再再深造或者去拿证，还有还有我要学，你毕竟你是刚刚入门的人，你还有一些要学的，如果你有钱了你就可以再继续学，如果你没钱你就只能卡在这了。
21:15  speaker1：这样的话。就是一些项目的选择吧。
21:26  speaker1：项目的选择。
21:29  speaker1：抓紧项目的选择。
21:40  speaker1：有关那我就讲现在我我有一个项目，但是我就觉得他有一定的难度，但是别人别人能赚到钱，我觉得我我如果努力一下，我是不是我也能赚到，但是问题我就觉得我没那个能力，就就看着别人赚钱我赚不到。
22:00  speaker1：嗯，除了然后我就想唉他这个他这个还是跟我的目标会有点契合。就是
22:14  speaker1：你你要不要先听我讲一下我目前在做的事情？
22:45  speaker1：还有怎么在我现阶段在做的项目当中突破瓶颈，赚到钱呢？
22:56  speaker1：嗯，什么嗯，
23:10  speaker1：同一个同一个我就说别人能赚到钱，但是我我就。
23:27  speaker1：唉时间精力吧就是说你你要兼顾家庭吧噢孩子，这边你也要兼顾，然后就在家教育你也要兼顾，所以这些都听听。因为接下去我们也是再加上再加教育，然后嗯，当然我们在录的也大一点，他可以自主学，但是你仍然是要添顾，是不是？就是这个所以你的工作又不能说你花去你太耗太耗你的精力，那你那你没时间顾家。
24:11  speaker1：嗯，
24:24  speaker1：可以啊。
24:37  speaker1：嗯，24:38【安静3秒】那我现在讲一下我现在的做的事情，24:45【安静3秒】我现在就是还有一个盈利项目哈，但是我是赚不多，但是他跟我的印象会比较接近，就是服务于家庭和教育。就是我我不是有有在做一个课程推广，就小哈平课程推广，那他这里面呢很多都是组内的妈妈在在推广课程，那嗯，就是当我连接到很多的家庭和家长和他们的孩子，这是有这方面的连接，就是能够跟他们有对话，有交流，噢这个是我喜欢做的啊。然后也看到嗯，不少的，因为他是主要是给其实他是就是为了帮助那个在家带娃的妈妈有一些额外的收入嘛，所以他是呃又可以可以边带娃边边边一边推广，嗯，然后看到看到有一些就是可能比较以前就比较有影响力的一些妈妈们，他们很快就能够收入上万，但是我我是没那个能力啊，我的人脉没那么广啊，包括就是要提醒我，嗯，邀请我进来的妈妈们妈妈，他自己的收入也是上万的，他也是从玉琴开始做的，疫情期间开始推推网课嘛，然后开始开始才2月份越多，因为但是因为他们本身在某个领域里面，他们就已经有一定的粉丝吧，就是算是比较大咖的妈妈，比如说像那个网罗，瓦努你知道吗？这些教育的网络。
26:32  speaker1：你听得到我说话吗？
26:37  speaker1：你继续讲对对对对是这样子啊。经常让这些教育部门开个公众号。
