请根据实际情况，替换speaker1或speaker2为教练或客户：
总时长：68:02
speaker1:          说话时长：604,占比：34%
speaker2:          说话时长：1132,占比：65%
speaker1:          字节总数：5842,占比：43%
speaker2:          字节总数：7603,占比：56%
笔录:
00:06  speaker1：喂孙倩你好。
00:15  speaker1：挺好的。你上次有聊到说呃有关公司的360测评之后有些反馈，这次想在这个方面来探讨，还是你想要其他方面的教练。
01:03  speaker1：嗯好的。就有关这个360的话，你觉得想要重点探讨哪些方面？呢
02:37  speaker1：很好。刚才你在聊这方面的时候，听到似乎有就是有关性格特点和这个 facility的角色之间有一些冲突的地方，请你再多聊一些好吗？
03:53  speaker1：对，就像能听到你的这个心里面似乎有这种纠结。哈就是觉得应该打转，却又不知或者害怕去打算。那么你觉得有关facility的这个角色是你现在的工作必须要做的吗？
05:45  speaker1：就用英文就好了。
06:22  speaker1：噢
07:02  speaker1：很好，你已经看到有很重要的方面了。那么首先就是你觉得有关这样一个角色是你接下来呃一定会去做的吗？
07:47  speaker1：成长性思维。
08:37  speaker1：所以听起来你想要用成长型的思维，在这个 project类的上面，用facilitate这个这个层面哈能够去看怎么样去提升是吧？
08:51  speaker1：然后你提到性格和能力技能，这两个层面，那你觉得我们今天整个的教练，你想要如果聚焦于一下的话，你会怎么来表述这样一个教练的目标呢？
09:41  speaker1：找到吃力的原因和解决的方案。
09:54  speaker1：你觉得。
09:59  speaker1：这样一个目标对你来讲有什么重要的意义呢？嗯
10:27  speaker1：嗯
11:07  speaker1：我们回顾一下以往我们的教练环境，我们也留意到你自自身的很多特质，哈从未来的发展看，你也注意到说有这种领导的特质，啊如果把这个结合起来，围绕今天想在facilitate这方面能够成长。假如请你畅想一下，你觉得对你的未来会有什么重要的影响？
12:17  speaker1：假如你就成了这么样一个中间的引导人，请你想象一下对于整个团队会有什么重要的意义？
13:00  speaker1：嗯
13:04  speaker1：当这条线把它们串起来的时候，能够对整个团队包括团队的个体来讲，带来什么样的价值呢？
13:33  speaker1：嗯13:34【停顿5秒】带着这样一份什么对团队会有的价值贡献。请你再想想现在你所在的团队的现状，13:53【停顿7秒】你觉得要想知道你在在cttt这方面吃力的原因，还要寻找解决方案。接下来我们要从什么方什么方面来入手。呢
15:14  speaker1：那么这种对项目的不认同背后如果深挖一下，你觉得那是一个什么？在起重要作用。
16:04  speaker1：也就是说如果把这两个方面调整一下，你觉得你会对什么样的项目会很认同？会觉得不吃力。呢
16:58  speaker1：嗯听起来你有什么启发？新一代都凉。
17:31  speaker1：带着这样一份感悟，啊你觉得17:36【停顿3秒】作为facilitator，你会怎么样来促进整个团队待着目的去摸索去探索。
18:18  speaker1：如果回到你的现实的这个 project的里面，让你来描绘一下这个目标，你觉得所有人是不是都很清楚？呢
18:36  speaker1：如果请你描述一下那会是什么？
18:58  speaker1：假如为了让你自己对这个项目产生很大的认同，你要如何去寻找寻求这样一个目标呢？
20:19  speaker1：它会是具有哪些重要的因素或者特点？你就会认同了。
21:44  speaker1：能感受到你在那个你现在是很很用心的深度的思考，哈21:50【停顿5秒】似乎又很难找到一个21:58【停顿3秒】答案
22:12  speaker1：你觉得这体现出来嗯有没有其他的吃力的原因？
22:43  speaker1：嗯22:44【停顿4秒】邀请你回顾一下你过往的经历当中，在一种什么样的氛围上，你觉得能够被赋能？
23:32  speaker1：明确的目标。嗯我听到你在笑。
23:43  speaker1：是的。当你重复讲这些的时候，肯定对你来讲是重要的。哈23:49【停顿18秒】当你觉得需要一个明确的目标，而整个的团队似乎就很难有这样一个目标的时候，你觉得作为一个 project lead，要怎么样做这个facilitator，可以促进大家去寻求一个共同的目标。呢
25:20  speaker1：星期四星期五
25:30  speaker1：嗯
26:32  speaker1：听起来这是一个新的觉察。假如带着这样一份觉察去看你的车内的原因或者说解决的方案，你能想到什么？
27:35  speaker1：请你假想一想，你就是带着这样一种这样一种风格不去改变团队，而是鼓励大家去多讨论。你觉得对于整个的团队去寻求一个共同的目标，会有什么积极的作用？
28:23  speaker1：还有什么？嗯
28:53  speaker1：那如果回到开始，你说的这个难处哈很难积极引导，很难去打断别人。结合刚才你所讲的鼓励大家多讨论，你会有什么进一步的启发？呢
29:47  speaker1：之前你聊到打断其他人的时候，提到说有可能是你性格或者技能，那么到现在这个时候，你觉得想要在这些方面进一步的去探讨，呢还是先要谈别的？
30:34  speaker1：噢你有很好的发现，噢你以前尝试过类似的做法吗？
30:56  speaker1：嗯假如你练习了这样的角色扮演，可以去打断别人，你觉得对于整个团队的目标，哪怕就是探索这个过程本身会有什么积极的作用。
31:47  speaker1：嗯
31:55  speaker1：嗯你觉得这个一层覆盖到是你的目标，还是团队成员大多数认为的目标，还是什么？
32:18  speaker1：嗯
32:30  speaker1：嗯所以听起来这种不能覆盖到，会拖延整个团队整体的目标，是这样吗？
32:43  speaker1：嗯那么按照你注重目标这个角度去考虑，你的目标就是团队的目标能够达成。那么在技能层面上，你觉得还有什么技巧可以帮助你把讨论的议题都覆盖到。
34:04  speaker1：嗯听起来他是按照他的风格，那么假如请你结合你自己的性格风格特点，什么样的风格会让你成为一个既能注重团队目标，又能觉得自己很舒服的做这样一个facilitator。
35:08  speaker1：嗯
35:20  speaker1：嗯
35:42  speaker1：嗯35:43【停顿12秒】我们回到说我们要关注的是你要找到facilities车内的原因和解决的方案，你觉得现在我们进展到哪里？
36:56  speaker1：带着现在的这种清晰，你觉得接下来我们要怎么样探讨，可以帮助你能够更好的去找到 facility里面的解决方案。
38:03  speaker1：也没什么大不了，当你这么去想的时候，我能感受到一种释放。你觉得如果真的是带着这样一种心态做facility的，你会有什么样不一样的表现跟以前有所不同？
38:44  speaker1：假如你就是这么去做了，38:46【停顿3秒】有些人被打断了，你觉得会对于整个团队会产生什么影响？
39:08  speaker1：嗯
39:13  speaker1：还会有什么进一步的影响？
39:28  speaker1：如果再提升，还会有什么进一步长久的影响？
40:12  speaker1：当大家习惯了这种按议题开会，还会给整个团队带来什么？正面的影响。
40:48  speaker1：请你再展望一下，经过一番努力，大家开会都很有效率，每个人都可以发言。那个时候的你跟现在有什么不同？
41:29  speaker1：那么带着这样一份成就感，你觉得在解决方案上，你还会有什么启发？
42:25  speaker1：没关系，哈你已经很努力的在思考，啊已经想到一些解决方案的很好。那么对于之前你要谈到的，你觉得吃力的原因已经找到，已经清楚了，那解决的方案到现在为止你觉得怎么样？这个
43:01  speaker1：那么接下来你知道说自己要做哪些事情呢？
43:20  speaker1：你可以做哪些可以让自己能够开始在这个团队里做facility能够提升。
43:47  speaker1：我就
44:18  speaker1：那么你想到的这一个协调能力，综合能力会有什么启发？呢
44:34  speaker1：嗯44:35【停顿4秒】假如根据你所了解的这个团队的特点，可以有一个突破口的话，你觉得会是什么？呢
45:25  speaker1：能力了，对，你因为你刚才谈到协调能力综合能力了，45:29【停顿3秒】如果具体一点，你觉得会比较有效的，那会是从哪个方面入手？
46:49  speaker1：如果从你自己的性格入手，46:52【停顿3秒】你觉得如何去突破自己的这些觉得害怕打断别人，或者觉得这种压力很难打断别人，有什么突破口。呢
48:00  speaker1：假如让你去思考，很难打断，是因为你看中什么呢？
48:18  speaker1：嗯
48:41  speaker1：当你这么做了，会对于这个说话的人48:49【停顿3秒】有什么重要的意义呢？
49:19  speaker1：那么对于那些因为你没有打断而没有机会发言的人，你觉得他们会怎么看待？你去尊重一个人，让一个人说完话。
49:45  speaker1：嗯这事对他们来说好还是不好呢？
49:54  speaker1：假如请你把好的一方面也说出来。
49:58  speaker1：你能想到什么？
50:11  speaker1：嗯
50:27  speaker1：嗯听起来你还是很关注大家的整体议程，能够落实，能够得到讨论，是吧？
50:40  speaker1：可是听起来你还是有这个冲突在里面。就是想让对方充分表达完，然后你再说这样看来呢时间又不够，那么从你最关心的点，就是团队整体的目标实现和。
51:02  speaker1：个体表达对他的尊重和理解。你觉得这两个方面如何能有效的融合成一个整体的目标。
51:48  speaker1：嗯51:49【停顿4秒】就是打断的同时给别人机会，对吧？
52:03  speaker1：假如你在打断的时候，提醒到别人会有了机会去表达你的心态会有什么不同。
52:27  speaker1：嗯52:28【停顿14秒】现在回过头来再看你打断别人的那些顾虑，害怕打断，你觉得深层次来讲，你怕的是什么？
53:22  speaker1：不接纳什么？
53:28  speaker1：嗯嗯53:31【停顿3秒】你觉得这种不接纳会进一步给你造成什么样的损失呢？
54:07  speaker1：嗯54:08【停顿15秒】如果换一个角度考虑的话，你觉得这样的一种担心或者说害怕如何给你积极的提醒。
55:10  speaker1：嗯55:12【停顿8秒】你之前也提到的这方面哈那怎么样可以帮助你自己能够有效的先接纳自己。
55:47  speaker1：嗯55:49【停顿3秒】嗯55:53【停顿16秒】你如何从你的团队里面找到人来支持你，让你可以更有效的做这个 facilitator。56:22【停顿7秒】嗯
56:39  speaker1：嗯
57:03  speaker1：嗯嗯57:05【停顿10秒】那这样一位同事这么做呢会对你来讲有什么帮助？
57:32  speaker1：嗯57:33【停顿6秒】回顾一下前面已经谈的这些内容，你觉得进展如何？
58:12  speaker1：哈哈哈哈好像你有更深度的发现，呢那这对你会有什么提醒呢？
58:28  speaker1：嗯嗯
58:53  speaker1：很好的比喻，啊你觉得这个角料说到底它是什么？
59:07  speaker1：所以对自己不接纳就会成为向前跑的缴纳。假如说能够砍断这个角料。
59:23  speaker1：你会有什么不一样？
59:37  speaker1：根据你的经验，啊你觉得有些什么有效的办法可以帮助你砍掉这个角料。
60:20  speaker1：对，假如重量会减少的，你觉得是什么呢？
60:42  speaker1：接受进步是吗？
60:51  speaker1：接受已经有了改善是吗？
60:55  speaker1：嗯60:56【停顿11秒】还有什么可以减轻重量？
61:53  speaker1：嗯61:54【停顿8秒】如果你能做到这样不跟做得很好的人比较，对你而言会有什么帮助呢？
62:25  speaker1：嗯嗯62:28【停顿3秒】这样你会有什么不同？
62:43  speaker1：嗯还有嗯嗯
62:56  speaker1：嗯能感受到你在聊这个的时候稍微轻松了一点，似乎那个脚镣还是很扎实的捆绑着你，63:10【停顿3秒】还有什么办法可以帮助你彻底的砍断这个角料？
64:03  speaker1：嗯这个比喻很好，如果近视眼没戴眼镜，会怎么样？
64:19  speaker1：那带着这样一个很好的比喻，啊64:22【停顿4秒】假如你能带着你的脚镣往前跑，嗯嗯以及共生的往前跑，那会是什么感觉？
64:49  speaker1：嗯64:50【停顿7秒】不要太追求速度，请你再多聊一聊。嗯
65:24  speaker1：嗯
65:35  speaker1：这样的你会在一个团队里去做facility的时候，有什么不同？
66:19  speaker1：如果带着这种心态再来回顾你想要看到的这个做facility的设立的原因和解决的方案，那么到现在你觉得还有什么启发吗？
67:12  speaker1：嗯嗯非常好。当你这么一说的时候，我能感受到一种平静安稳的力量出来了。特别你提到不会退缩，非常好。67:30【停顿6秒】那你觉得还有什么想要特别聊的吗？
67:56  speaker1：那你觉得教练到这里就ok了吗？还是有其他还要继续聊的。
